--
-- Gathered from https://www.scoreboard.com/en/mls/results/
-- ';' separated
-- [DATE, DD.MM.YYYY];[HOMEID];[AWAYID];[HOMESCORE] : [AWAYSCORE]
--
-- 18.09.2019;4de09cc0-c8b5-4651-a73a-68e05ffacc22;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;0 : 2
-- 15.09.2019;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;7 : 2
-- 15.09.2019;aa050628-4f65-4997-abef-e3fd6b80d07e;9df3a517-2754-438b-bfe3-9d081aefa350;4 : 2
-- 15.09.2019;b1ab1613-d652-403f-8c7f-8ca7dfd37804;52f41053-5060-4535-9aca-03c0a6a41a82;3 : 1
-- 15.09.2019;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;3 : 2
-- 15.09.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;34e2f043-ca34-4743-847b-17f2000c8e16;0 : 1
-- 14.09.2019;ce6a772c-9a31-4b10-81b1-f59ec6346b31;ee42400a-6bdf-4b68-ac30-437f50368b7e;2 : 1
-- 14.09.2019;93eba939-30e6-4702-b854-87051111edbd;4de09cc0-c8b5-4651-a73a-68e05ffacc22;0 : 1
-- 14.09.2019;fd36043a-ce04-46e7-99ae-63406444834b;853ce6e8-987e-4cf0-846a-def18d96913a;3 : 3
-- 14.09.2019;2313ec02-1e1d-4fd1-8278-57ed5bc64370;f0b354a2-f8db-4b52-a180-f23816cbd6ac;1 : 1
-- 14.09.2019;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;1 : 3
-- 14.09.2019;821e5563-bb3c-4a5e-8d56-79e25efb49cd;028c0edc-b63e-4f72-8e4b-34d1a78e3671;4 : 0
-- 14.09.2019;431c60bd-c4ae-4253-b554-58af9cf46dd3;07979bc9-ac85-47f7-9d98-d5275039d627;2 : 1
-- 11.09.2019;52f41053-5060-4535-9aca-03c0a6a41a82;07979bc9-ac85-47f7-9d98-d5275039d627;1 : 0
-- 11.09.2019;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;2 : 1
-- 11.09.2019;ee42400a-6bdf-4b68-ac30-437f50368b7e;b1ab1613-d652-403f-8c7f-8ca7dfd37804;2 : 0
-- 11.09.2019;431c60bd-c4ae-4253-b554-58af9cf46dd3;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;1 : 1
-- 07.09.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;2 : 1
-- 07.09.2019;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;aa050628-4f65-4997-abef-e3fd6b80d07e;2 : 0
-- 07.09.2019;4de09cc0-c8b5-4651-a73a-68e05ffacc22;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;1 : 5
-- 07.09.2019;fd36043a-ce04-46e7-99ae-63406444834b;f0b354a2-f8db-4b52-a180-f23816cbd6ac;2 : 2
-- 07.09.2019;431c60bd-c4ae-4253-b554-58af9cf46dd3;853ce6e8-987e-4cf0-846a-def18d96913a;2 : 
-- 01.09.2019;f0b354a2-f8db-4b52-a180-f23816cbd6ac;b1ab1613-d652-403f-8c7f-8ca7dfd37804;0 : 2
