--
-- Gathered from https://www.scoreboard.com/en/mls-2018/results/
-- ';' separated
-- [DATE, DD.MM.YYYY];[HOMEID];[AWAYID];[HOMESCORE] : [AWAYSCORE]
--
15.09.2018;028c0edc-b63e-4f72-8e4b-34d1a78e3671;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;0 : 0
15.09.2018;2313ec02-1e1d-4fd1-8278-57ed5bc64370;93eba939-30e6-4702-b854-87051111edbd;1 : 4
15.09.2018;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;5 : 3
15.09.2018;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;0 : 3
12.09.2018;34e2f043-ca34-4743-847b-17f2000c8e16;b1ab1613-d652-403f-8c7f-8ca7dfd37804;2 : 1
08.09.2018;f021bbaf-ea80-468a-8cd0-b3674327dee5;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;2 : 0
08.09.2018;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;fd36043a-ce04-46e7-99ae-63406444834b;1 : 0
08.09.2018;431c60bd-c4ae-4253-b554-58af9cf46dd3;34e2f043-ca34-4743-847b-17f2000c8e16;1 : 1
05.09.2018;431c60bd-c4ae-4253-b554-58af9cf46dd3;853ce6e8-987e-4cf0-846a-def18d96913a;0 : 1
02.09.2018;34e2f043-ca34-4743-847b-17f2000c8e16;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;3 : 1
01.09.2018;52f41053-5060-4535-9aca-03c0a6a41a82;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;6 : 2
01.09.2018;ce6a772c-9a31-4b10-81b1-f59ec6346b31;07979bc9-ac85-47f7-9d98-d5275039d627;2 : 1
01.09.2018;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;431c60bd-c4ae-4253-b554-58af9cf46dd3;2 : 1
01.09.2018;028c0edc-b63e-4f72-8e4b-34d1a78e3671;ee42400a-6bdf-4b68-ac30-437f50368b7e;4 : 2
01.09.2018;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;f0b354a2-f8db-4b52-a180-f23816cbd6ac;2 : 4
01.09.2018;93eba939-30e6-4702-b854-87051111edbd;9df3a517-2754-438b-bfe3-9d081aefa350;3 : 0
01.09.2018;853ce6e8-987e-4cf0-846a-def18d96913a;f021bbaf-ea80-468a-8cd0-b3674327dee5;1 : 1
01.09.2018;fd36043a-ce04-46e7-99ae-63406444834b;2313ec02-1e1d-4fd1-8278-57ed5bc64370;2 : 2
01.09.2018;aa050628-4f65-4997-abef-e3fd6b80d07e;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;3 : 1
29.08.2018;f021bbaf-ea80-468a-8cd0-b3674327dee5;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;2 : 0
29.08.2018;07979bc9-ac85-47f7-9d98-d5275039d627;028c0edc-b63e-4f72-8e4b-34d1a78e3671;4 : 3
29.08.2018;34e2f043-ca34-4743-847b-17f2000c8e16;2313ec02-1e1d-4fd1-8278-57ed5bc64370;0 : 2
29.08.2018;9df3a517-2754-438b-bfe3-9d081aefa350;ee42400a-6bdf-4b68-ac30-437f50368b7e;1 : 0
26.08.2018;f021bbaf-ea80-468a-8cd0-b3674327dee5;aa050628-4f65-4997-abef-e3fd6b80d07e;0 : 1
26.08.2018;9df3a517-2754-438b-bfe3-9d081aefa350;34e2f043-ca34-4743-847b-17f2000c8e16;1 : 0
25.08.2018;07979bc9-ac85-47f7-9d98-d5275039d627;ce6a772c-9a31-4b10-81b1-f59ec6346b31;2 : 3
25.08.2018;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;52f41053-5060-4535-9aca-03c0a6a41a82;0 : 6
25.08.2018;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;b1ab1613-d652-403f-8c7f-8ca7dfd37804;2 : 0
25.08.2018;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;93eba939-30e6-4702-b854-87051111edbd;3 : 1
25.08.2018;2313ec02-1e1d-4fd1-8278-57ed5bc64370;853ce6e8-987e-4cf0-846a-def18d96913a;1 : 0
24.08.2018;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;f0b354a2-f8db-4b52-a180-f23816cbd6ac;1 : 1
24.08.2018;fd36043a-ce04-46e7-99ae-63406444834b;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;1 : 2
23.08.2018;ee42400a-6bdf-4b68-ac30-437f50368b7e;028c0edc-b63e-4f72-8e4b-34d1a78e3671;1 : 1
23.08.2018;821e5563-bb3c-4a5e-8d56-79e25efb49cd;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;1 : 1
22.08.2018;431c60bd-c4ae-4253-b554-58af9cf46dd3;9df3a517-2754-438b-bfe3-9d081aefa350;1 : 1
19.08.2018;f0b354a2-f8db-4b52-a180-f23816cbd6ac;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;2 : 0
19.08.2018;34e2f043-ca34-4743-847b-17f2000c8e16;853ce6e8-987e-4cf0-846a-def18d96913a;2 : 0
